sentence	sentence_id	locale	reason
ਉਸਨੇ ਸਿਟੀ ਕੌਂਸਲ ਦਾ ਪੈਸਾ ਵਿਅਰਥ ਕੀਤਾ	0091ebd7b24d26422accb83a97308b33d1fe60eb18c77d2428eb48af867b3b8e	pa-IN	Transliterated words used, when the native words exist.
ਨਾਂਗ ਵਾਂਗ ਭੋਰਾਂ ਨਹੀਂ ਲਿਹਾਜ਼ ਕਰਦੀ	028bcbac6f3a4b4e640e6ba1424ff75aceb35e6d7e90d9017e0402b6a829c59d	pa-IN	grammar-or-spelling
ਸੀਟ ਮਿਲੂ ਕਦੋਂ ਦੀ ਅੱਜ ਸ਼ੁਕਰਵਾਰ ਐ	074336a1e4db6db2fe852a547e46e0112d1551622714e9da29636ff77fa68b8c	pa-IN	grammar-or-spelling
ਕੋਈ ਡਾਲੀਆਂ ਚੋਂ ¦ਘਿਆ ਹਵਾ ਬਣ ਕੇ	01a047ec3e24886e13995d7405e48f66a9bbd78f29e53803648ba9b3aee3a438	pa-IN	grammar-or-spelling
ਤੇ ਦਾ ਪ੍ਰਸਾਦਿ ਵੰਡਿਆ ਸੀ	0155a1dd72f5776c7cfd134fcc87a42c59af9530b7757bb253436955afbe680d	pa-IN	grammar-or-spelling
ਨਾਂਗ ਵਾਂਗ ਭੋਰਾਂ ਨਹੀਂ ਲਿਹਾਜ਼ ਕਰਦੀ	028bcbac6f3a4b4e640e6ba1424ff75aceb35e6d7e90d9017e0402b6a829c59d	pa-IN	grammar-or-spelling
ਮਿਲਣ ਵਿਛੜਣ ਦੇ ਰੰਗਾਂ ਦੀ ਕਸੀਦਾਕਾਰੀ ਜੀੜਨ ਦੀ ਰੰਗੀਨਤਾ	06653652a07ca63817aad7baf7d88a773d04d34364cdd47c4b8cf4e434d71275	pa-IN	grammar-or-spelling
ਗ ਇਸ ਨੂੰ ਸਮਝਣਾ ਬਹੁਤ ਮੁਸ਼ਕਿਲ ਹੈ	044b97e22628b6908153de10480fd85673d98f968280993e63deafa9bdfbbcfe	pa-IN	grammar-or-spelling
ਬਾਰਬਰਾ ਪ੍ਰੀਵਰ ਦੇ ਮੈਂਬਰ ਵਰਗੀ ਹੈ ਰਿਤਿਕ	0068fda25055aea3e072403e2b39a9987b677d7c31bec40fb754b7fceee59461	pa-IN	grammar-or-spelling
ਕਿਲ੍ਹੇ ਦੇ ਬਾਹਰੋਂ ਧਿਆਨ ਸਿੰਘ ਨੇ ਪਿਛੇ ਮੁੜ ਕੇ ਕਿਲ੍ਹੇ ਵੱਲ ਦੇਖਿਆ	020f40023e111aa3ca11cc70a5d10acf9348e2d5cb6630b950633d45c87d9436	pa-IN	grammar-or-spelling
ਹੈ ਇਹ ਯੁੱਗ ਸ਼ਇਰਨਾਨਕ ਪੀਰ ਵਰਗੀ	0628d2caf24e36d6351c4c9be81fa71320513aa6808169a9be4581e04716af85	pa-IN	grammar-or-spelling
ਅਜ ਦੀ ਪੜ੍ਹਾਈ ਮਨੋਵਿਗਿਆਨ ਅਧਾਰਤ ਹੈ	04cfe6fbffcbbad66b03be3a4495a4ce954f1289d0ef2264e81a8832165884a1	pa-IN	grammar-or-spelling
ਦਿਲੀ ਕਮੇਟੀ ਤੋਂ ਵੀ ਉਹਨਾਂ ਨੂੰ ਵੱਖ ਕਰ ਦਿੱਤਾ ਜਾਵੇਗਾ	000e5f61dd1b4dbeee4b5d56c33b52083b08562800f33fe18cd3d60992133c9d	pa-IN	grammar-or-spelling
ਉਥੇ ਉਹ ਇਕ ਮਕੈਨੀਕਲ ਐਨਜੀਨੀਅਰ ਸਨ	0463a3ebe4ed64c8151e68e7146b781be8eca91671ebcafbd6444e7862b12263	pa-IN	grammar-or-spelling
ਨਾਵਾਨੁਮਾ ਵਿਚ ਕੀ ਪਿਆ ਪਰ ਤੁਸੀ ਮੈਨੂੰ ਰਣਜੀਤ ਕਹਿ ਸਕਦੇ ਹੋ	029e30d9e68ed8751cb5e29bdaa2a76921be994a406e219e2dcb8861d9601bf4	pa-IN	grammar-or-spelling
ਬਿਲਕੁਲ ਨਹੀ ਨਿਕਲਦੀ ਪਰ ਮੈ ਕਿਆਰਾ ਮੋੜ ਆਵਾਂ	00f1312ef01cd4d69bb561f48f69170b7f86b447ce71d6760202ed3ac9d9f48b	pa-IN	grammar-or-spelling
ਉਨ੍ਹਾਂ ਵਿਚ ਕੋਈ ਵੱਡਾ ਜਾਂ ਛੋਟਾ ਨਹੀਂ ਹੁੰਦਾ	06b21c863968c08d22cb127e05c43f665d83f8f4fbc86d5fc87b766bd14d29ab	pa-IN	grammar-or-spelling
ਕਿਸੇ ਨਾਲ ਖੁੰਦਕਬਾਜ਼ੀ ਨਹੀਂ ਸੀ ਕੀਤੀ	01d8b5088c9a6f357443ceaf28d535e13d4f0e28c63ebfa56e48635e206742c3	pa-IN	grammar-or-spelling
ਬੇਸੱਕ ਓਨਟੈਰਿਓ ਵਿੱਚ ਸੱਭ ਤੋਂ ਵੱਡੀਆਂ ਸਨੱਅਤਾਂ ਹਨ	01092a01e2fb8f714b9c1cc77811ec39f361b995c3a0615cb2341efa26f692f1	pa-IN	grammar-or-spelling
