client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
25c1d04b50cee236ac83edbf68004e14d84b9c09c8bab3bfd969f150bae687a1be9e700b9c3fa6d474e5c8d23561ce3d67e5e7911880caeb00433ef79f09ce4d	common_voice_pa-IN_21717905.mp3	ਸ਼ਹਿਰਾਂ ਗਲੀਆਂ ਵਿਚ ਸਾਰੇ ਲਿਖਵਾ ਦਿਆਂ	1	0				pa-IN	
1f06b30402cdccbe99ba5d6ff11f5a893e78c294508b9403e396be8416b715caeb0c5fa3d5ce83691cf3781a0eb95289b4e87d50038e4114ab526883dfec1ea8	common_voice_pa-IN_21723002.mp3	ਦੇਸ਼ ਲਈ ਕੁਰਬਾਨ ਹੋਣ ਦੀਆਂ ਗੱਲਾਂ ਕਰਨ ਵਾਲੇ	1	0				pa-IN	
1f06b30402cdccbe99ba5d6ff11f5a893e78c294508b9403e396be8416b715caeb0c5fa3d5ce83691cf3781a0eb95289b4e87d50038e4114ab526883dfec1ea8	common_voice_pa-IN_21722999.mp3	ਘਰ ਬਾਹਰ ਪੈਸੇ ਲਈ ਛੱਡਿਆ ਏ	0	1				pa-IN	
1f06b30402cdccbe99ba5d6ff11f5a893e78c294508b9403e396be8416b715caeb0c5fa3d5ce83691cf3781a0eb95289b4e87d50038e4114ab526883dfec1ea8	common_voice_pa-IN_21722991.mp3	ਵਿਕਾਸ ਮਨੁੱਖਤਾ ਦਾ ਸੁੰਦਰ ਵਰਤਾਰਾ ਹੈ	1	0				pa-IN	
1f06b30402cdccbe99ba5d6ff11f5a893e78c294508b9403e396be8416b715caeb0c5fa3d5ce83691cf3781a0eb95289b4e87d50038e4114ab526883dfec1ea8	common_voice_pa-IN_21723021.mp3	ਕਬੱਡੀ ਮੈਚ ਕਨਿੰਘਮ ਪਾਰਕ ਵਿਚ ਹੋਣੇ ਸਨ	1	1				pa-IN	
1f06b30402cdccbe99ba5d6ff11f5a893e78c294508b9403e396be8416b715caeb0c5fa3d5ce83691cf3781a0eb95289b4e87d50038e4114ab526883dfec1ea8	common_voice_pa-IN_21723018.mp3	ਗੁਆਂਢੀਆਂ ਨੂੰ ਕਦੇ ਵੀ ਮਾੜਾ ਲਫ਼ਜ਼ ਨਾ ਬੋਲੋ	1	0				pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21916815.mp3	ਇਸ ਲਈ ਸ਼ੈਂਪੂ ਪਿੱਛੋਂ ਕੰਡੀਸ਼ਨਰ ਵਰਤਣਾ ਚਾਹੀਦੈ	1	0	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21916814.mp3	ਫੇਰ ਟੈਕਸੀ ਲੈ ਕੇ ਸਾਡੇ ਕੋਲ਼ ਆਇਆ ਸੀ	0	1	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21916816.mp3	ਤੁਸੀਂ ਆਪਣੇ ਵਿਚਾਰਾਂ ਤੇ ਕਾਬੂ ਕਰ ਸਕਦੇ ਹੋ	1	0	fourties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917697.mp3	ਦੁਪਹਿਰ ਜਾਂ ਸ਼ਾਮ ਨੂੰ ਝਪਕੀਆਂ ਨਾ ਲਓ	1	0	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917694.mp3	ਅੱਜ ਦੇ ਇਸ ਇਕੱਠ ਨੇ	1	0	fifties	male		pa-IN	
